Sensor, Electrode, MCU Pin, Package Pin
generalPurposeSliderSensor,RX02,CAP0.0,12
modeKeypadSensor,RX00,CAP0.0,12
numericKeypadSensor,RX00,CAP0.0,12
scrollWheelSensor,RX00,CAP0.0,12
volumeSliderSensor,RX00,CAP0.0,12
numericKeypadSensor,TX00,CAP0.1,13
numericKeypadSensor,TX01,CAP0.2,14
numericKeypadSensor,TX02,CAP0.3,15
generalPurposeSliderSensor,RX01,CAP1.0,16
modeKeypadSensor,RX01,CAP1.0,16
numericKeypadSensor,RX01,CAP1.0,16
scrollWheelSensor,RX02,CAP1.0,16
volumeSliderSensor,RX01,CAP1.0,16
generalPurposeSliderSensor,TX00,CAP1.1,17
scrollWheelSensor,TX00,CAP1.2,18
wheelButtonSensor,TX00,CAP1.2,18
volumeSliderSensor,TX00,CAP1.3,19
generalPurposeSliderSensor,RX03,CAP2.0,21
modeKeypadSensor,RX02,CAP2.0,21
numericKeypadSensor,RX02,CAP2.0,21
volumeSliderSensor,RX02,CAP2.0,21
wheelButtonSensor,RX00,CAP2.0,21
modeKeypadSensor,TX00,CAP2.1,22
generalPurposeSliderSensor,RX00,CAP3.0,25
modeKeypadSensor,RX03,CAP3.0,25
numericKeypadSensor,RX03,CAP3.0,25
scrollWheelSensor,RX01,CAP3.0,25
volumeSliderSensor,RX03,CAP3.0,25
proxAndGuardSensor,RX00,CAP3.3,28
